ID, Name, Degree
"Hartsfield Jackson Atlanta International Airport", ATL, 1937
"Chicago O'Hare International Airport", ORD, 1403
"Frankfurt am Main Airport", FRA, 1255
"Beijing Capital International Airport", PEK, 1241
"Charles de Gaulle International Airport", CDG, 1222
"Los Angeles International Airport", LAX, 1206
"Shanghai Pudong International Airport", PVG, 1194
"London Heathrow Airport", LHR, 1194
"Amsterdam Airport Schiphol", AMS, 1143
"Dallas Fort Worth International Airport", DFW, 1103
"John F Kennedy International Airport", JFK, 1066
"Singapore Changi Airport", SIN, 1019
"Incheon International Airport", ICN, 1002
"Munich Airport", MUC, 967
"Barcelona International Airport", BCN, 921
"Istanbul Airport", IST, 918
"Miami International Airport", MIA, 915
"Hong Kong International Airport", HKG, 915
"Chengdu Shuangliu International Airport", CTU, 898
"Vienna International Airport", VIE, 887
"Guangzhou Baiyun International Airport", CAN, 882
"Adolfo Su�rez Madrid�Barajas Airport", MAD, 881
"Dubai International Airport", DXB, 876
"Denver International Airport", DEN, 874
"Suvarnabhumi Airport", BKK, 872
"Xi'an Xianyang International Airport", XIY, 865
"D�sseldorf Airport", DUS, 855
"London Gatwick Airport", LGW, 842
"Kunming Changshui International Airport", KMG, 825
"Lester B. Pearson International Airport", YYZ, 814
"Leonardo da Vinci�Fiumicino Airport", FCO, 814
"Chongqing Jiangbei International Airport", CKG, 812
"Domodedovo International Airport", DME, 768
"Brussels Airport", BRU, 768
"Indira Gandhi International Airport", DEL, 743
"Taiwan Taoyuan International Airport", TPE, 740
"Hangzhou Xiaoshan International Airport", HGH, 739
"Manchester Airport", MAN, 739
"Z�rich Airport", ZRH, 729
"Narita International Airport", NRT, 719
"Shenzhen Bao'an International Airport", SZX, 698
"Charlotte Douglas International Airport", CLT, 685
"Palma De Mallorca Airport", PMI, 657
"Philadelphia International Airport", PHL, 647
"San Francisco International Airport", SFO, 642
"Kuala Lumpur International Airport", KUL, 638
"Orlando International Airport", MCO, 632
"McCarran International Airport", LAS, 612
"Xiamen Gaoqi International Airport", XMN, 611
"Phoenix Sky Harbor International Airport", PHX, 607
"Newark Liberty International Airport", EWR, 599
"Licenciado Benito Juarez International Airport", MEX, 595
"Chhatrapati Shivaji International Airport", BOM, 591
"Zhengzhou Xinzheng International Airport", CGO, 584
"Copenhagen Kastrup Airport", CPH, 579
"Changsha Huanghua International Airport", CSX, 577
"Eleftherios Venizelos International Airport", ATH, 577
"Sheremetyevo International Airport", SVO, 575
"Pulkovo Airport", LED, 573
"George Bush Intercontinental Houston Airport", IAH, 572
"Nanjing Lukou Airport", NKG, 572
"Humberto Delgado Airport (Lisbon Portela Airport)", LIS, 564
"Wuhan Tianhe International Airport", WUH, 562
"Guarulhos - Governador Andr� Franco Montoro International Airport", GRU, 562
"Seattle Tacoma International Airport", SEA, 556
"Hamad International Airport", DOH, 551
"Stockholm-Arlanda Airport", ARN, 550
"Liuting Airport", TAO, 540
"General Edward Lawrence Logan International Airport", BOS, 526
"V�clav Havel Airport Prague", PRG, 522
"Abu Dhabi International Airport", AUH, 521
"Dublin Airport", DUB, 517
"King Abdulaziz International Airport", JED, 512
"Tianjin Binhai International Airport", TSN, 509
"Berlin-Tegel Airport", TXL, 508
"Montreal / Pierre Elliott Trudeau International Airport", YUL, 508
"Paris-Orly Airport", ORY, 503
"Malpensa International Airport", MXP, 502
"Soekarno-Hatta International Airport", CGK, 500
"M�laga Airport", AGP, 497
"Sydney Kingsford Smith International Airport", SYD, 495
"Minneapolis-St Paul International/Wold-Chamberlain Airport", MSP, 490
"Detroit Metropolitan Wayne County Airport", DTW, 482
"Fort Lauderdale Hollywood International Airport", FLL, 477
"Longdongbao Airport", KWE, 470
"Hamburg Airport", HAM, 468
"Stuttgart Airport", STR, 461
"Shanghai Hongqiao International Airport", SHA, 459
"Kansai International Airport", KIX, 454
"Washington Dulles International Airport", IAD, 453
"Ninoy Aquino International Airport", MNL, 453
"Zhoushuizi Airport", DLC, 453
"Taiping Airport", HRB, 447
"Gran Canaria Airport", LPA, 440
"Cologne Bonn Airport", CGN, 438
"Tenerife South Airport", TFS, 431
"Ronald Reagan Washington National Airport", DCA, 430
"Geneva Cointrin International Airport", GVA, 426
"OR Tambo International Airport", JNB, 426
